product_id,product_name,category,warehouse,location,quantity,price,supplier,status,last_restocked
1,Widget B,TOYS,Warehouse 2,Aisle 4,200,0,Supplier C,Out Of Stock,2023-03-05
2,Gadget X,ELECTRONICS,Warehouse 1,Aisle 4,200,23.51,Supplier B,Out Of Stock,2022-12-20
3,Widget A,CLOTHING,Warehouse 3,Aisle 3,200,29.83,Supplier B,In Stock,2023-03-05
4,Gadget X,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier A,Out Of Stock,2023-01-15
5,Gadget Z,TOYS,Warehouse 3,Aisle 2,200,26.03,Supplier A,Out Of Stock,2022-12-20
6,Widget A,ELECTRONICS,Warehouse 3,Aisle 3,0,13.13,Supplier A,In Stock,2022-12-20
7,Widget B,CLOTHING,Warehouse 2,Aisle 5,178,0,Supplier A,Out Of Stock,2023-04-25
8,Widget C,ELECTRONICS,Warehouse 3,Aisle 3,200,19.62,Supplier D,Out Of Stock,2023-04-25
9,Gadget Z,FURNITURE,Warehouse 3,Aisle 3,251,26.63,Supplier C,In Stock,2022-12-20
10,Gadget X,FURNITURE,Warehouse 3,Aisle 2,200,0,Supplier C,In Stock,2023-03-05
11,Widget B,TOYS,Warehouse 1,Aisle 4,200,22.16,Supplier C,Low Stock,2023-04-25
12,Gadget Z,CLOTHING,Warehouse 2,Aisle 2,0,0,Supplier D,Low Stock,2023-04-25
13,Widget B,FURNITURE,Warehouse 1,Aisle 2,101,0,Supplier C,Low Stock,2023-04-25
14,Gadget Z,ELECTRONICS,Warehouse 1,Aisle 5,0,0,Supplier D,Low Stock,2022-12-20
15,Widget A,TOYS,Warehouse 1,Aisle 3,78,30.6,Supplier D,Out Of Stock,2023-01-15
16,Widget A,ELECTRONICS,Warehouse 3,Aisle 1,200,0,Supplier A,In Stock,2023-01-15
17,Gadget Z,TOYS,Warehouse 3,Aisle 3,0,48.73,Supplier D,Low Stock,2022-12-20
18,Widget C,ELECTRONICS,Warehouse 1,Aisle 4,121,16.57,Supplier B,Low Stock,2023-04-25
19,Gadget X,CLOTHING,Warehouse 1,Aisle 4,0,0,Supplier C,Low Stock,2022-12-20
20,Gadget X,TOYS,Warehouse 2,Aisle 2,64,0,Supplier D,Out Of Stock,2022-12-20
21,Gadget Y,CLOTHING,Warehouse 3,Aisle 2,206,0,Supplier C,Low Stock,2023-01-15
22,Gadget Z,FURNITURE,Warehouse 1,Aisle 4,0,47.63,Supplier C,In Stock,2023-03-05
23,Gadget Z,FURNITURE,Warehouse 3,Aisle 5,57,36.75,Supplier B,In Stock,2023-03-05
