Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1,widget b,TOYS,Warehouse 2,Aisle 4,two hundred,,Supplier C,Out of Stock,05-03-2023
2,gadget x,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,23.51,Supplier B,Out of Stock,20-12-2022
3,widget a,CLOTHING,Warehouse 3,Aisle 3,two hundred,29.83,Supplier B,In Stock,05-03-2023
4,gadget x,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier A,Out of Stock,15-01-2023
5,gadget z,TOYS,Warehouse 3,Aisle 2,two hundred,26.03,Supplier A,Out of Stock,20-12-2022
6,widget a,ELECTRONICS,Warehouse 3,Aisle 3,,13.13,Supplier A,In Stock,20-12-2022
7,widget b,CLOTHING,Warehouse 2,Aisle 5,178,,Supplier A,Out of Stock,
8,widget c,ELECTRONICS,Warehouse 3,Aisle 3,two hundred,19.62,Supplier D,Out of Stock,25-04-2023
9,gadget z,FURNITURE,Warehouse 3,Aisle 3,251,26.63,Supplier C,In Stock,20-12-2022
10,gadget x,FURNITURE,Warehouse 3,Aisle 2,two hundred,,Supplier C,In Stock,05-03-2023
11,widget b,TOYS,Warehouse 1,Aisle 4,two hundred,22.16,Supplier C,Low Stock,
12,gadget z,CLOTHING,Warehouse 2,Aisle 2,,,Supplier D,Low Stock,25-04-2023
13,widget b,FURNITURE,Warehouse 1,Aisle 2,101,,Supplier C,Low Stock,
14,gadget z,ELECTRONICS,Warehouse 1,Aisle 5,,,Supplier D,Low Stock,20-12-2022
15,widget a,TOYS,Warehouse 1,Aisle 3,78,30.6,Supplier D,Out of Stock,15-01-2023
16,widget a,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,,Supplier A,In Stock,15-01-2023
17,gadget z,TOYS,Warehouse 3,Aisle 3,,48.73,Supplier D,Low Stock,20-12-2022
18,widget c,ELECTRONICS,Warehouse 1,Aisle 4,121,16.57,Supplier B,Low Stock,
19,gadget x,CLOTHING,Warehouse 1,Aisle 4,,,Supplier C,Low Stock,20-12-2022
20,gadget x,TOYS,Warehouse 2,Aisle 2,64,,Supplier D,Out of Stock,20-12-2022
21,gadget y,CLOTHING,Warehouse 3,Aisle 2,206,,Supplier C,Low Stock,15-01-2023
